"","class","meanRate","low95","high95","variance","maxmin"
"1","wild_branch",0.0059046,0.005313,0.0065594,3.87993300645907,7.04109589040991
"2","china_branch",0.0053839,0.0050193,0.0057632,28.1020879513312,24.6120218579199
"3","preWild_branch",0.0033869,0.0029665,0.0038265,23.4216760301358,21.93169398907
"4","BangladeshPoultry",0.004705,0.003972,0.005418,7.12169496950583,10.0371509843601
"5","Indonesia_poultry_L1",0.005308,0.004534,0.0061538,4.63698234401053,9.44036230257007
"6","Indonesia_poultry_L2",0.005078,0.0042761,0.0060808,11.4713245486037,11.32465753424
